countyCode,AverageAnnualCount,PovertyEst,avgDeathsPerYear,deathRate,incidentRate,medIncome,popEst2020,povertyPercent,studyCount,studyPerCap
47123,335.0,2176,138.0,202.9,491.0,54257.0,47740.0,16.6,0.0,0.0
47125,780.0,7002,292.0,185.2,457.9,56047.0,235201.0,14.9,0.0,0.0
47127,40.0,25722,13.0,132.8,408.7,67478.0,6742.0,11.199999999999998,5.0,741.6196974191635
47129,131.0,664,53.0,186.0,446.8,68086.0,21224.0,10.0,0.0,0.0
47131,208.0,3253,81.0,176.4,476.5,59967.0,30394.0,16.9,0.0,0.0
47133,149.0,5068,78.0,241.8,464.8,50159.0,23044.0,16.9,11.0,477.34768269397676
47135,55.0,3444,26.0,211.7,465.6,52108.0,8685.0,15.1,0.0,0.0
47137,34.0,1438,15.0,159.9,377.0,46448.0,5107.0,16.9,0.0,0.0
47139,118.0,810,53.0,205.5,473.0,47932.0,17863.0,16.1,3.0,167.94491406818565
47141,423.0,2717,172.0,177.5,448.5,55146.0,82382.0,15.4,11.0,133.52431356364255
47143,228.0,15140,90.0,198.8,512.4,54996.0,33730.0,19.1,1.0,29.647198339756894
47145,387.0,4752,152.0,168.9,456.3,59207.0,55082.0,14.4,7.0,127.0832576885371
47147,404.0,7203,149.0,180.5,477.0,63430.0,75470.0,13.2,2.0,26.50059626341593
47149,1357.0,6825,452.0,163.1,448.4,77326.0,360619.0,9.1,27.0,74.871263022747
47151,131.0,33552,63.0,219.4,474.5,77320.0,22035.0,9.4,0.0,0.0
